index,station_name
313,maharani bagh ashram
314,mahaveer enclave part ii & iii
315,mahavir enclave part ii-iii
316,mahendra park
317,mahipal pur
318,mahipal pur village
319,mahipal pur xing
320,"mahvir enclave part ii,iii"
321,majnu ka teela
322,major b.s.nagar
323,malik pur village
324,malik pur xing
325,malka ganj
326,mandi  house
327,mangala puri
328,mangla puri terminal
329,mangol pur school
330,mangol pur y block
331,mangol puri
332,mangol puri b-block
333,mangol puri khurd
334,mangol puri school
335,manju ka tila
336,masjid moth
337,mausam bhawan
338,maya puri chowk
339,maya puri depot
340,mayur vihar phase-2
341,mayur vihar phase-iii
342,mbs nagar
343,mckr hospital
344,mehrauli
345,metcalfe house
346,minto road
347,minto road terminal
348,mitraon village
349,mjr. bhupender singh ngr
350,model town ii
351,modern school
352,modi mill
353,mohammad pur
354,mohammadpur village
355,mohindera park
356,mool chand hospital
357,moolchand
358,more lines
359,mori gate
360,mori gate terminal
361,mother dairy
362,mother dairy x-ing
363,moti bagh
364,moti nagar
365,moti nagar industrial area
366,moti nagar market
367,mp depot
368,mubarak pur dabas
369,mubarak pur x-ing
370,mudhela kalan village
371,mukarba chowk
372,mukharjee park
373,mukund pur chowk
374,mukund pur x-ing
375,mundhela kalan village
376,mundhela khurd
377,mundhela x-ing
378,mundka
379,mundka village metro station
380,n.h.w x-ing
381,n.h.w.24 crossing
382,najaf garh
383,najafgarh delhi gate
384,najafgarh terminal
385,nanak sar
386,nanaksar gurudwara
387,nanaksar xing
388,nand nagari depot
389,nand nagri (t)
390,nand nagri terminal
391,nangal dairy
392,nangiya park
393,nangli sakarwati
394,nangli sakrawati village
395,nangloi
396,nangloi depot
397,nangloi jj colloney
398,nangloi lokesh
399,nangloi metro station
400,nangloii
401,naraina vihar
402,naraina village
403,narela terminal
404,nathu pura
405,nathu pura xing
406,national high way-24 xing
407,national highway x-ing
408,national museum
409,national stadium
410,nauroji nagar
411,nawaada
412,nazafgarh
413,ncert
414,nehru bus stand goyla dairy
415,nehru place
416,nehru place terminal
417,nehru vihar
418,netaji subhash institute of technology
419,netaji subhash palace
420,new anaz mandi
421,new delhi railway station gate no-2
422,new delhi railway station gate-1
423,new dwarka road
424,new kondli a-1
425,new kondli a-1 xing
426,new seema puri
427,new usman pur
428,new usman pur pusta no. 1
429,nh-8 xing
430,nhai building sec-10
431,nhw8
432,nilothi x-ing
433,nirankari colony
434,nirman bhawan
435,nithari
436,nitholi more
437,nizamuddin railway station
438,nizamuddin road bridge
439,o.s. communicition
440,okhla depot
441,okhla ext thokar n-3
442,okhla gaon
443,okhla tank
444,old delhi railway station
445,old secretriate
446,p s kirti nagar
447,p.s mandir marg
448,p.s. nizamuddin
449,p.s. nizamuddin dargah
450,p.s. pahar ganj
451,p.s.tughlak road
452,palam
453,palam airport
454,palam airport by pass
455,palam colony
456,palam colony flyover
457,palam more
458,palam village
459,palika kendra
460,panchkuian road
461,panchkuian road-banwari lal hospital
462,panchsheel club
463,panchsheel enclave
464,pandav nagar
465,pandwala village
466,pandwala xing
467,panth nagar
468,paper mandi
469,patel chowk
470,peera garhi
471,peera garhi chowk
472,peera garhi depot
473,pg dav college
474,pindwala khurd x-ing
475,pittam pura kd block
476,pochan pur village
477,pochanpur
478,police post
479,police post keekarstand
480,police station najaf garh
481,police station nizamuddin
482,pooth kalan
483,pooth khurd
484,power house
485,pragati maidan
486,pragati maidan metro station
487,prahlad pur
488,prehlad pur village
489,prehlad vihar
490,prem nursary
491,prem piao
492,prithvi raj road
493,prithvi raj road x-ing
494,prithvi raj road/p.s.tuglak road
495,ps kirti nagar
496,ps najafgarh
497,ps nizzammuddin dargah
498,ps tuglak road
499,pts
500,pts (cbt section)
501,puchkuiyan road
502,punjabi bagh
503,punjabi bagh (rohtak rd)
504,punjabi bagh club
505,punjabi bagh terminal
506,pusa road (petrol pump)
507,pushpanjali g bloack
508,pusta x-ing
509,q block mangol puri terminal
510,qadi pur
511,qamarddin ngr xing
512,qazipur village
513,qumruddin nagar
514,qutab
515,r k puram sec-1
516,r r line
517,r-block rajender nagar
518,race course
519,raghubir nagar gurudwara
520,rail bhawan metro station
521,railway bridge x-ing
522,railway colony
523,railway road bridge
524,rainy well
525,raj gaht
526,raj rifle line
527,raja garden
528,rajdhani college
529,rajeev ratan awas
530,rajendra palace
531,rajendra place metro station
532,rajghat cluster depot
533,rajghat depot
534,rajghat ring road
535,rajokri crossing
536,rajouri garden
537,rajouri garden ring ropad
538,raksha vigyan kendra
539,rana pratap bagh
540,ranhola villlage
